iter,D
179,0.659289
180,0.524930
181,0.525498
182,0.631659
183,0.529183
184,0.547040
185,0.677508
186,0.495202
187,0.603110
188,0.641102
189,0.424824
190,0.595562
191,0.628701
192,0.609390
193,0.640551
194,0.552741
195,0.646906
196,0.581506
197,0.618116
198,0.603231
199,0.465168
200,0.425938
201,0.671806
202,0.590534
203,0.453219
204,0.563792
205,0.496941
206,0.592410
207,0.502200
208,0.598548
209,0.576873
210,0.649193
211,0.570838
212,0.578632
213,0.458821
214,0.676978
215,0.485615
216,0.442420
217,0.539629
218,0.609078
219,0.575752
220,0.597417
221,0.706635
222,0.438216
223,0.616905
224,0.575310
225,0.526186
226,0.719397
227,0.477668
228,0.722220
229,0.667657
230,0.509430
231,0.653786
232,0.533397
233,0.558688
234,0.558147
235,0.471476
236,0.736567
237,0.492511
238,0.587095
239,0.609350
240,0.575362
241,0.592400
242,0.534638
243,0.469461
244,0.652197
245,0.474489
246,0.420244
247,0.572746
248,0.492416
249,0.516795
250,0.551794
251,0.581572
252,0.638602
253,0.514459
254,0.446518
255,0.517755
256,0.495247
257,0.509326
258,0.567671
259,0.583253
260,0.531911
261,0.460388
262,0.431990
263,0.573045
264,0.544556
265,0.571388
266,0.522924
267,0.615337
268,0.444185
269,0.546281
270,0.574823
271,0.624056
272,0.463263
273,0.712848
274,0.655139
275,0.511857
276,0.616872
277,0.592751
278,0.572320
279,0.618527
280,0.525902
281,0.622358
282,0.540026
283,0.489070
284,0.488957
285,0.486035
286,0.525073
287,0.565317
288,0.466947
289,0.523732
290,0.547030
291,0.461881
292,0.612420
293,0.718749
294,0.461472
295,0.530711
296,0.735420
297,0.544952
298,0.557322
299,0.603650
300,0.479725
301,0.682842
302,0.568786
303,0.632240
304,0.570397
305,0.632381
306,0.746518
307,0.633167
308,0.557609
309,0.615467
310,0.541297
311,0.604639
312,0.456191
313,0.670954
314,0.615101
315,0.651606
316,0.497342
317,0.637387
318,0.429898
319,0.514255
320,0.531071
321,0.526927
322,0.585795
323,0.447434
324,0.519604
325,0.538495
326,0.368173
327,0.577616
328,0.475966
329,0.378026
330,0.560646
331,0.486128
332,0.488539
333,0.471581
334,0.560118
335,0.625036
336,0.550327
337,0.531275
338,0.625144
339,0.580361
340,0.583677
341,0.533085
342,0.496666
343,0.649358
344,0.575834
345,0.558805
346,0.417380
347,0.459879
348,0.547350
349,0.694451
350,0.561312
351,0.479197
352,0.500741
353,0.523375
354,0.677581
355,0.801940
356,0.399119
357,0.735038
358,0.459097
359,0.579369
360,0.533354
361,0.580324
362,0.668545
363,0.741037
364,0.539529
365,0.676688
366,0.451178
367,0.466177
368,0.641847
369,0.603623
370,0.593641
371,0.506740
372,0.502223
373,0.496334
374,0.495532
375,0.464236
376,0.572578
377,0.555026
378,0.524933
379,0.732088
380,0.663071
381,0.591818
382,0.599802
383,0.580645
384,0.602857
385,0.637189
386,0.689004
387,0.614313
388,0.692421
389,0.555194
390,0.503191
391,0.615225
392,0.391099
393,0.624507
394,0.534328
395,0.440022
396,0.686935
397,0.679457
398,0.640440
399,0.593195
400,0.590979
401,0.587709
402,0.500665
403,0.534023
404,0.566075
405,0.528114
406,0.483582
407,0.660434
408,0.531855
409,0.666816
410,0.443570
411,0.577051
412,0.613940
413,0.563050
414,0.559536
415,0.572611
416,0.622281
417,0.351249
418,0.546318
419,0.711277
420,0.578843
421,0.558964
422,0.474924
423,0.553048
424,0.552474
425,0.513090
426,0.554994
427,0.529823
428,0.435644
429,0.678609
430,0.689850
431,0.661443
432,0.456811
433,0.621734
434,0.545053
435,0.720298
436,0.575834
437,0.612297
438,0.589538
439,0.545732
440,0.553113
441,0.611416
442,0.546404
443,0.606163
444,0.559941
445,0.548342
446,0.571812
447,0.628255
448,0.559045
449,0.595527
450,0.520486
451,0.662626
452,0.455725
453,0.482116
454,0.441378
455,0.582910
456,0.450409
457,0.661813
458,0.590633
459,0.574957
460,0.438034
461,0.452212
462,0.489882
463,0.492347
464,0.540505
465,0.558344
466,0.652052
467,0.576860
468,0.655280
469,0.540853
470,0.445200
471,0.498015
472,0.478967
473,0.525404
474,0.618672
475,0.566571
476,0.679348
477,0.622934
478,0.473187
479,0.517902
480,0.565314
481,0.615762
482,0.504455
483,0.464934
484,0.652069
485,0.535663
486,0.665353
487,0.658405
488,0.533134
489,0.609972
490,0.435577
491,0.628211
492,0.573559
493,0.475494
494,0.622645
495,0.443847
496,0.602505
497,0.490699
498,0.464228
499,0.507381
500,0.699936
501,0.741682
502,0.511097
503,0.594275
504,0.549606
505,0.582387
506,0.748334
507,0.398562
508,0.524822
509,0.544878
510,0.548429
511,0.749389
512,0.379893
513,0.565892
514,0.463722
515,0.423954
516,0.538660
517,0.701642
518,0.546137
519,0.476984
520,0.556618
521,0.674718
522,0.602085
523,0.522545
524,0.621858
525,0.560657
526,0.580175
527,0.839496
528,0.507570
529,0.630290
530,0.490276
531,0.673252
532,0.673969
533,0.579653
534,0.677196
535,0.577078
536,0.694535
537,0.754273
538,0.562664
539,0.564883
540,0.472221
541,0.532521
542,0.575284
543,0.592437
544,0.577373
545,0.606478
546,0.553884
547,0.681262
548,0.442947
549,0.571174
550,0.567064
551,0.652727
552,0.470135
553,0.527876
554,0.568354
555,0.588580
556,0.429920
557,0.590416
558,0.502735
559,0.563171
560,0.462739
561,0.684438
562,0.581693
563,0.499361
564,0.522410
565,0.516927
566,0.546900
567,0.485184
568,0.508808
569,0.479872
570,0.687692
571,0.671494
572,0.711450
573,0.638434
574,0.613324
575,0.437016
576,0.369065
577,0.574546
578,0.567431
579,0.555879
580,0.575631
581,0.431499
582,0.507659
583,0.493829
584,0.419310
585,0.384617
586,0.443373
587,0.507421
588,0.540894
589,0.438383
590,0.474841
591,0.490474
592,0.515122
593,0.505007
594,0.613156
595,0.490899
596,0.618612
597,0.459234
598,0.613392
599,0.602692
600,0.466707
601,0.520664
602,0.724702
603,0.538859
604,0.552060
605,0.449761
606,0.497817
607,0.642522
608,0.594383
609,0.498038
610,0.506911
611,0.514182
612,0.736619
613,0.493032
614,0.521628
615,0.652151
616,0.524180
617,0.562716
618,0.444247
619,0.559576
620,0.617748
621,0.479927
622,0.678270
623,0.551972
624,0.595865
625,0.536009
626,0.695431
627,0.643881
628,0.475060
629,0.628846
630,0.552438
631,0.479574
632,0.464656
633,0.555412
634,0.616638
635,0.630291
636,0.466451
637,0.600256
638,0.646022
639,0.564581
640,0.661327
641,0.594692
642,0.639070
643,0.671909
644,0.438235
645,0.624784
646,0.658587
647,0.501472
648,0.513374
649,0.503734
650,0.459169
651,0.428693
652,0.514706
653,0.483037
654,0.702352
655,0.574781
656,0.503730
657,0.454234
658,0.607803
659,0.593915
660,0.491581
661,0.458761
662,0.688830
663,0.513739
664,0.519781
665,0.459971
666,0.503571
667,0.444944
668,0.451778
669,0.570227
670,0.519508
671,0.496011
672,0.631373
673,0.621535
674,0.568201
675,0.590649
676,0.457718
677,0.388783
678,0.418103
679,0.428901
680,0.514531
681,0.476906
682,0.607764
683,0.571013
684,0.595771
685,0.492514
686,0.598966
687,0.551518
688,0.624147
689,0.321690
690,0.567663
691,0.612595
692,0.542143
693,0.556923
694,0.488591
695,0.603496
696,0.575665
697,0.609436
698,0.440379
699,0.559746
700,0.607451
701,0.496756
702,0.594101
703,0.459826
704,0.635185
705,0.590487
706,0.325398
707,0.567365
708,0.659085
709,0.481210
710,0.540368
711,0.445991
712,0.593344
713,0.530303
714,0.527005
715,0.592902
716,0.510141
717,0.676434
718,0.627915
719,0.573649
720,0.472490
721,0.535849
722,0.536971
723,0.635798
724,0.535327
725,0.495951
726,0.412301
727,0.664901
728,0.562296
729,0.518909
730,0.565330
731,0.586687
732,0.531494
733,0.798631
734,0.652859
735,0.559592
736,0.593407
737,0.603105
738,0.598840
739,0.556324
740,0.633572
741,0.532884
742,0.613888
743,0.549064
744,0.524965
745,0.629310
746,0.505632
747,0.533456
748,0.511459
749,0.684593
750,0.636410
751,0.546258
752,0.457901
753,0.555025
754,0.506680
755,0.540007
756,0.509536
757,0.591785
758,0.519161
759,0.518033
760,0.798749
761,0.536952
762,0.568041
763,0.507925
764,0.469125
765,0.690468
766,0.558256
767,0.499802
768,0.674245
769,0.604927
770,0.519997
771,0.348321
772,0.557985
773,0.738901
774,0.421143
775,0.538343
776,0.440421
777,0.534048
778,0.532456
779,0.458477
780,0.572803
781,0.512527
782,0.498625
783,0.620076
784,0.574086
785,0.636446
786,0.577310
787,0.559030
788,0.532633
789,0.682006
790,0.518123
791,0.614452
792,0.538164
793,0.663245
794,0.642963
795,0.572308
796,0.653971
797,0.688944
798,0.580417
799,0.456768
800,0.633364
801,0.738902
802,0.508051
803,0.507867
804,0.687147
805,0.596733
806,0.707317
807,0.592076
808,0.433558
809,0.403899
810,0.472533
811,0.434021
812,0.502987
813,0.434849
814,0.482344
815,0.457394
816,0.513561
817,0.523319
818,0.546186
819,0.505054
820,0.386610
821,0.587725
822,0.567905
823,0.596639
824,0.495510
825,0.472711
826,0.651361
827,0.587810
828,0.577626
829,0.449585
830,0.611596
831,0.527794
832,0.562932
833,0.566939
834,0.398518
835,0.627321
836,0.562326
837,0.714110
838,0.488667
839,0.436141
840,0.473658
841,0.478714
842,0.560327
843,0.576040
844,0.470417
845,0.561691
846,0.558994
847,0.403964
848,0.495839
849,0.673806
850,0.630007
851,0.667146
852,0.592426
853,0.491148
854,0.574405
855,0.481910
856,0.640923
857,0.606379
858,0.554273
859,0.504246
860,0.532860
861,0.517809
862,0.810913
863,0.409199
864,0.543016
865,0.595194
866,0.440050
867,0.538686
868,0.544984
869,0.613196
870,0.663947
871,0.701539
872,0.687732
873,0.613051
874,0.438001
875,0.553731
876,0.593444
877,0.594855
878,0.355860
879,0.704923
880,0.576310
881,0.507648
882,0.699712
883,0.606813
884,0.532962
885,0.621928
886,0.615963
887,0.589136
888,0.450872
889,0.580050
890,0.473064
891,0.525611
892,0.563769
893,0.587024
894,0.629394
895,0.511683
896,0.440056
897,0.397475
898,0.510964
899,0.419824
900,0.604854
901,0.555832
902,0.623017
903,0.540860
904,0.469383
905,0.522274
906,0.433694
907,0.588590
908,0.580008
909,0.663036
910,0.508643
911,0.406783
912,0.636120
913,0.555553
914,0.539175
915,0.613454
916,0.530627
917,0.787778
918,0.420942
919,0.589093
920,0.771861
921,0.695100
922,0.557343
923,0.441296
924,0.607878
925,0.418441
926,0.652170
927,0.400223
928,0.692905
929,0.613039
930,0.539622
931,0.617521
932,0.573636
933,0.487453
934,0.598417
935,0.473689
936,0.597475
937,0.481781
938,0.569336
939,0.616514
940,0.526927
941,0.566648
942,0.605206
943,0.452213
944,0.661593
945,0.622875
946,0.596384
947,0.609230
948,0.572890
949,0.685195
950,0.655570
951,0.576361
952,0.499888
953,0.610919
954,0.530182
955,0.553316
956,0.558789
957,0.523796
958,0.466023
959,0.531008
960,0.693236
961,0.485104
962,0.622246
963,0.569105
964,0.511547
965,0.511681
966,0.457570
967,0.584325
968,0.626516
969,0.561613
970,0.615008
971,0.564849
972,0.531721
973,0.585782
974,0.484579
975,0.440185
976,0.541447
977,0.511621
978,0.569871
979,0.570731
980,0.631650
981,0.562199
982,0.637504
983,0.563306
984,0.456243
985,0.531184
986,0.732032
987,0.584107
988,0.527760
989,0.420343
990,0.533941
991,0.538665
992,0.505867
993,0.622184
994,0.599737
995,0.542946
996,0.729189
997,0.576098
998,0.457614
999,0.595214
